Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1598.0226504546142
FDW14,OUT017,1371.2771122331262
NCN55,OUT010,575.9389929154452
FDQ58,OUT017,2426.0605215785627
FDY38,OUT027,5843.963632240473
FDH56,OUT046,1908.9845286939376
FDL48,OUT018,725.5283522787569
FDC48,OUT027,2154.2787216515126
FDN33,OUT045,1555.6748788179686
FDA36,OUT017,3136.4670183225076
FDT44,OUT017,1878.5352342213987
FDQ56,OUT045,1405.1991881580925
NCC54,OUT019,576.1584335554039
FDU11,OUT049,2019.128706716067
DRL59,OUT013,820.2018330676285
FDM24,OUT049,2423.5007974630144
FDI57,OUT045,2972.6768056789238
DRC12,OUT018,2893.271591661142
NCM42,OUT027,2917.5061845490045
FDA46,OUT010,504.7060784311087
FDA31,OUT013,2787.52558250511
NCJ31,OUT035,3826.4140017392806
FDG52,OUT046,799.7278854728457
NCL19,OUT019,289.0248075695056
FDS10,OUT035,2940.405219823067
FDX22,OUT010,566.3455788693132
NCF19,OUT035,778.5080328991544
NCE06,OUT046,2515.6738523369595
DRC27,OUT046,3927.1881401787255
FDE21,OUT035,1977.4375691025414
NCR42,OUT019,130.15709029656634
FDX51,OUT018,2943.3184086706415
NCR06,OUT018,592.6169756031248
FDU31,OUT027,5843.963632240473
FDU59,OUT017,2483.4754171606924
FDR03,OUT027,5843.028363085771
FDS49,OUT027,2058.54270570848
FDD48,OUT010,267.0438655575082
NCF18,OUT017,3042.3676683486547
NCD43,OUT027,2853.2276223868475
NCD54,OUT018,2089.3548127471645
FDY19,OUT010,267.0533567868372
NCY54,OUT017,2811.9875734254692
NCL19,OUT018,2381.1390433745737
FDP23,OUT010,573.6703882214823
FDC26,OUT013,1713.0757523158982
FDR14,OUT010,130.15709029656634
NCS41,OUT035,3156.3128702963145
FDF41,OUT035,3851.4948802694857
FDU34,OUT046,2065.9283625707767
DRH11,OUT046,979.044006727284
FDM03,OUT013,1646.0752671596272
FDS31,OUT017,3084.145802103832
FDJ20,OUT017,1985.8068243874154
FDV44,OUT027,5155.446338347382
FDG02,OUT049,3177.375079262602
FDA09,OUT013,3054.226005243231
FDT04,OUT013,649.8045150145571
FDL58,OUT019,573.8477088865991
FDE52,OUT045,1386.7984850654273
FDW12,OUT035,2439.8089679480445
FDL51,OUT017,3727.477709426769
NCY42,OUT027,3033.369768901613
FDR07,OUT017,1566.5487361379235
FDN40,OUT045,2431.876765712114
FDB35,OUT027,2663.153317410378
FDA22,OUT017,2483.832585998942
NCL06,OUT046,4187.045132054674
FDI35,OUT013,3115.078939659222
NCW42,OUT045,3720.343288213445
NCX06,OUT049,2991.3115629311383
FDC37,OUT027,2884.752255386849
FDZ14,OUT018,1908.80815646764
DRG49,OUT049,3897.3569792564927
NCG06,OUT045,4082.8249687706275
DRC36,OUT045,2851.412048415329
FDV21,OUT019,279.8857303301424
FDB53,OUT046,2565.106916965506
DRP47,OUT019,576.1584335554039
FDA14,OUT013,2459.5635027018498
DRC24,OUT035,2571.1955133510387
FDW21,OUT018,1596.9554769682957
NCH29,OUT046,1565.92539379524
FDU58,OUT013,3167.8918700067725
