Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1788.4380407677095
FDW14,OUT017,1569.1418815730462
NCN55,OUT010,917.006735686327
FDQ58,OUT017,2402.7162139704315
FDY38,OUT027,5226.034084619143
FDH56,OUT046,1943.344869451677
FDL48,OUT018,1005.1789409433173
FDC48,OUT027,2219.6152499769523
FDN33,OUT045,1680.7798867758047
FDA36,OUT017,2910.8620471160734
FDT44,OUT017,1943.344869451677
FDQ56,OUT045,1569.1418815730462
NCC54,OUT019,921.6115067297285
FDU11,OUT049,2020.9413558328938
DRL59,OUT013,1087.6846199403708
FDM24,OUT049,2402.7162139704315
FDI57,OUT045,2910.8620471160734
DRC12,OUT018,2859.9072062955356
NCM42,OUT027,2607.5947727339512
FDA46,OUT010,848.5218850597646
FDA31,OUT013,2719.2596001986026
NCJ31,OUT035,3516.0362883900316
FDG52,OUT046,1094.5821723058352
NCL19,OUT019,719.4590447968944
FDS10,OUT035,2770.5959552853465
FDX22,OUT010,888.3693969740433
NCF19,OUT035,1094.5821723058352
NCE06,OUT046,2544.167183330117
DRC27,OUT046,3516.0362883900316
FDE21,OUT035,1943.344869451677
NCR42,OUT019,593.613211217713
FDX51,OUT018,2859.9072062955356
NCR06,OUT018,967.2468484198117
FDU31,OUT027,4805.676821821241
FDU59,OUT017,2544.167183330117
FDR03,OUT027,4805.676821821241
FDS49,OUT027,2168.774706391895
FDD48,OUT010,683.6873390562561
NCF18,OUT017,2910.8620471160734
NCD43,OUT027,2607.5947727339512
NCD54,OUT018,2082.9344901253553
FDY19,OUT010,686.8286196764155
NCY54,OUT017,2719.2596001986026
NCL19,OUT018,2371.5851503599756
FDP23,OUT010,881.9497036863762
FDC26,OUT013,1943.344869451677
FDR14,OUT010,657.7495626110007
NCS41,OUT035,2910.8620471160734
FDF41,OUT035,3516.0362883900316
FDU34,OUT046,2020.9413558328938
DRH11,OUT046,1151.54690000059
FDM03,OUT013,1788.4380407677095
FDS31,OUT017,2770.5959552853465
FDJ20,OUT017,2020.9413558328938
FDV44,OUT027,4476.968274885501
FDG02,OUT049,2910.8620471160734
FDA09,OUT013,2719.2596001986026
FDT04,OUT013,1042.7657606786784
FDL58,OUT019,966.4673392384185
FDE52,OUT045,1606.4591625895284
FDW12,OUT035,2402.7162139704315
FDL51,OUT017,3219.895924759378
NCY42,OUT027,3106.180891936954
FDR07,OUT017,1680.7798867758047
FDN40,OUT045,2402.7162139704315
FDB35,OUT027,2371.556275101356
FDA22,OUT017,2560.523473629052
NCL06,OUT046,3541.971081002922
FDI35,OUT013,2770.5959552853465
NCW42,OUT045,3410.2301257744143
NCX06,OUT049,2719.2596001986026
FDC37,OUT027,2607.5947727339512
FDZ14,OUT018,1989.8102922224382
DRG49,OUT049,3516.0362883900316
NCG06,OUT045,3541.971081002922
DRC36,OUT045,2719.2596001986026
