Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1614.3223
FDW14,OUT017,1339.3428
NCN55,OUT010,581.7023
FDQ58,OUT017,2398.9333
FDY38,OUT027,5809.126
FDH56,OUT046,1827.2555
FDL48,OUT018,648.06696
FDC48,OUT027,2123.449
FDN33,OUT045,1494.5026
FDA36,OUT017,3057.8384
FDT44,OUT017,1827.2555
FDQ56,OUT045,1339.3428
NCC54,OUT019,581.7023
FDU11,OUT049,1998.9939
DRL59,OUT013,836.78253
FDM24,OUT049,2398.9333
FDI57,OUT045,3080.2456
DRC12,OUT018,2742.8586
NCM42,OUT027,2723.9104
FDA46,OUT010,507.66736
FDA31,OUT013,2792.7336
NCJ31,OUT035,3728.7063
FDG52,OUT046,800.93634
NCL19,OUT019,375.74182
FDS10,OUT035,2854.6526
FDX22,OUT010,583.1868
NCF19,OUT035,800.93634
NCE06,OUT046,2552.9856
DRC27,OUT046,3767.4773
FDE21,OUT035,1827.2555
NCR42,OUT019,115.239265
FDX51,OUT018,2751.5876
NCR06,OUT018,569.97943
FDU31,OUT027,5324.3325
FDU59,OUT017,2552.9856
FDR03,OUT027,5324.3325
FDS49,OUT027,2086.0527
FDD48,OUT010,378.69492
NCF18,OUT017,3049.1094
NCD43,OUT027,2510.9492
NCD54,OUT018,1831.1246
FDY19,OUT010,378.69492
NCY54,OUT017,2792.7336
NCL19,OUT018,2142.0378
FDP23,OUT010,583.1868
FDC26,OUT013,1778.709
FDR14,OUT010,258.74594
NCS41,OUT035,3057.8384
FDF41,OUT035,3737.4353
FDU34,OUT046,1998.9939
DRH11,OUT046,906.16327
FDM03,OUT013,1614.3223
FDS31,OUT017,2863.3816
FDJ20,OUT017,1998.9939
FDV44,OUT027,4973.202
FDG02,OUT049,3057.8384
FDA09,OUT013,2863.3816
FDT04,OUT013,722.8488
FDL58,OUT019,667.6154
FDE52,OUT045,1380.0186
FDW12,OUT035,2398.9333
FDL51,OUT017,3409.6655
NCY42,OUT027,3066.3706
FDR07,OUT017,1478.2135
FDN40,OUT045,2398.9333
FDB35,OUT027,2376.6162
FDA22,OUT017,2552.9856
NCL06,OUT046,3870.592
FDI35,OUT013,2863.3816
NCW42,OUT045,3598.2642
NCX06,OUT049,2863.3816
FDC37,OUT027,2510.9492
FDZ14,OUT018,1774.3528
DRG49,OUT049,3767.4773
NCG06,OUT045,3870.592
DRC36,OUT045,2792.7336
FDV21,OUT019,358.25693
FDB53,OUT046,2398.9333
DRP47,OUT019,622.0939
FDA14,OUT013,2398.9333
DRC24,OUT035,2398.9333
FDW21,OUT018,1461.4532
NCH29,OUT046,1494.5026
FDU58,OUT013,3057.8384
FDY27,OUT017,2831.0945
FDV56,OUT035,1614.3223
FDT59,OUT046,3746.7878
FDB23,OUT046,3598.2642
FDR49,OUT045,800.93634
FDB03,OUT010,586.4569
FDN39,OUT045,2552.9856
FDX02,OUT027,5525.3096
FDQ16,OUT027,2510.9492
FDU35,OUT018,1409.2417
NCT29,OUT013,1998.9939
FDZ27,OUT046,800.93634
FDN57,OUT017,2052.825
FDA03,OUT018,2142.0378
FDZ36,OUT045,3057.8384
NCU05,OUT013,1317.1715
FDT39,OUT018,2142.0378
FDK60,OUT017,1494.5026
FDZ25,OUT017,2645.708
FDG12,OUT046,1998.9939
DRB01,OUT019,507.66736
NCC43,OUT027,5830.3765
FDX13,OUT019,617.8959
FDM22,OUT049,868.1552
FDJ03,OUT027,1282.3987
FDU14,OUT018,3495.1472
FDB33,OUT010,415.25623
FDP27,OUT046,3057.8384
FDO38,OUT010,277.3724
FDE28,OUT027,5809.126
FDO27,OUT035,1494.5026
DRL23,OUT027,2510.9492
FDS28,OUT046,906.16327
FDX24,OUT013,1467.7257
FDZ02,OUT035,1494.5026
FDL46,OUT045,1827.2555
FDS60,OUT027,4526.3384
NCO06,OUT017,697.13666
FDO16,OUT035,1339.3428
FDC60,OUT049,1339.3428
FDA48,OUT018,3076.3987
FDZ36,OUT027,4780.484
FDK27,OUT045,1998.9939
FDW23,OUT018,569.97943
FDM14,OUT018,1569.2296
FDM14,OUT013,1614.3223
FDW60,OUT018,2552.6843
FDE21,OUT013,1827.2555
NCM42,OUT035,1614.3223
FDY59,OUT010,311.37955
DRI49,OUT049,1317.1715
FDT28,OUT019,392.57867
FDQ22,OUT018,569.97943
FDR60,OUT049,1279.7753
FDC50,OUT019,326.09497
FDV24,OUT013,2398.9333
DRF48,OUT010,557.38684
FDQ47,OUT046,697.13666
DRN36,OUT049,1494.5026
NCY06,OUT035,2017.6171
FDE52,OUT035,1380.0186
NCB54,OUT045,2017.6171
NCF31,OUT035,2398.9333
FDJ08,OUT027,4973.202
NCC07,OUT017,1614.3223
NCD19,OUT027,1560.9886
FDL46,OUT049,1827.2555
FDM20,OUT045,3784.0073
NCI06,OUT010,500.53778
DRM11,OUT035,3870.592
NCH07,OUT018,2286.4028
FDS23,OUT013,2052.825
FDO49,OUT018,648.06696
FDS35,OUT049,1039.2441
DRK39,OUT045,1339.3428
DRI39,OUT049,906.16327
FDV04,OUT017,2551.5632
NCN14,OUT035,3049.1094
FDH08,OUT013,3792.914
FDS20,OUT046,3057.8384
FDV40,OUT049,1147.6251
FDZ48,OUT010,385.02112
FDS24,OUT027,2273.6648
FDK44,OUT049,2792.7336
FDS48,OUT045,2398.9333
FDK26,OUT010,557.38684
FDD23,OUT045,3057.8384
NCH54,OUT017,2552.9856
NCP14,OUT010,358.84744
FDM60,OUT010,140.95152
FDV24,OUT017,2398.9333
FDH08,OUT018,3375.5203
FDS12,OUT027,3100.4377
FDR39,OUT027,4676.733
FDP12,OUT027,1017.74664
DRF60,OUT027,5809.3853
FDC09,OUT035,1614.3223
FDF50,OUT018,2751.5876
FDG28,OUT035,3767.4773
NCE19,OUT017,906.16327
NCM53,OUT010,364.23117
NCN18,OUT049,1743.9012
FDF32,OUT035,3088.9746
FDF11,OUT013,3813.6035
DRI59,OUT049,3606.9932
NCG54,OUT035,2645.708
FDM44,OUT046,1614.3223
FDT57,OUT018,3396.2097
FDV24,OUT046,2398.9333
FDI50,OUT019,600.5039
FDS09,OUT035,800.93634
NCC31,OUT027,3648.2834
FDQ07,OUT019,567.9668
FDC22,OUT017,3057.8384
FDZ56,OUT046,2645.708
FDZ40,OUT019,258.74594
FDS46,OUT027,2899.2751
DRD24,OUT045,2104.3086
FDV45,OUT017,3057.8384
FDL26,OUT045,2398.9333
FDA56,OUT018,1774.3528
FDN27,OUT046,1810.9664
FDM20,OUT049,3784.0073
FDO16,OUT017,1339.3428
FDL03,OUT035,3049.1094
FDE58,OUT046,1827.2555
FDI02,OUT027,2899.478
NCC55,OUT019,140.95152
FDR03,OUT018,3062.7056
FDB14,OUT017,1467.7257
FDR45,OUT013,3813.6035
NCN07,OUT017,2052.825
FDM51,OUT019,358.84744
FDT52,OUT027,5809.3853
FDL26,OUT046,2398.9333
NCZ42,OUT046,3767.4773
DRI47,OUT019,392.57867
FDW40,OUT013,2104.3086
FDN34,OUT046,2645.708
FDS01,OUT035,2831.0945
NCG55,OUT045,1827.2555
FDC11,OUT035,1339.3428
FDX35,OUT018,3277.5955
NCB06,OUT046,2551.5632
FDR09,OUT019,622.0939
FDC53,OUT017,1494.5026
FDY45,OUT013,3916.7183
FDA22,OUT010,440.12515
FDE02,OUT035,1494.5026
FDW21,OUT045,1614.3223
FDV34,OUT046,1147.6251
FDS59,OUT049,1614.3223
NCW17,OUT017,2017.6171
NCK54,OUT046,1827.2555
FDG17,OUT019,607.5459
FDG35,OUT017,2767.7156
FDD08,OUT010,115.239265
NCO07,OUT017,3418.3945
FDJ10,OUT010,375.74182
FDW36,OUT017,1614.3223
FDW21,OUT010,358.84744
FDY19,OUT017,1827.2555
DRE03,OUT013,800.93634
NCC55,OUT049,722.8488
FDH52,OUT010,255.22728
FDO09,OUT017,3840.55
FDU43,OUT045,3775.2783
FDX09,OUT010,467.25763
FDH40,OUT019,289.4011
FDW58,OUT017,1614.3223
FDC47,OUT017,3716.7458
NCR41,OUT035,1494.5026
DRG49,OUT035,3767.4773
FDC52,OUT027,3648.2834
FDY13,OUT046,1147.6251
FDY35,OUT013,722.8488
FDI35,OUT017,3057.8384
NCU18,OUT049,2104.3086
FDY33,OUT018,2286.4028
FDC15,OUT027,3841.0078
FDU01,OUT049,3049.1094
NCU42,OUT046,2645.708
NCV29,OUT018,2552.6843
NCY30,OUT017,3049.1094
FDQ46,OUT049,1778.709
FDG58,OUT027,3648.2834
FDK33,OUT017,3409.6655
NCD07,OUT045,1827.2555
NCX29,OUT027,3648.2834
NCT42,OUT013,2398.9333
DRN59,OUT035,800.93634
FDI44,OUT035,1279.7753
FDA45,OUT049,2806.0764
FDP31,OUT045,1022.9551
FDY01,OUT046,1827.2555
FDT09,OUT018,1817.3212
DRH03,OUT027,2450.5452
FDA36,OUT018,2751.5876
NCF31,OUT017,2398.9333
FDG14,OUT049,2398.9333
FDG28,OUT027,5809.3853
FDU14,OUT049,3861.863
FDY47,OUT019,361.51306
FDI56,OUT049,1380.0186
DRD01,OUT013,906.16327
FDM22,OUT046,906.16327
FDH33,OUT013,722.8488
DRZ24,OUT013,1827.2555
NCQ38,OUT046,1614.3223
FDO16,OUT027,2229.7502
FDU07,OUT027,3660.9329
NCB07,OUT013,3049.1094
FDU48,OUT045,2052.825
NCM43,OUT045,2552.9856
FDR31,OUT010,352.0061
DRK49,OUT018,569.97943
NCI30,OUT010,581.7023
DRD60,OUT017,2863.3816
NCG19,OUT046,3728.7063
FDH12,OUT035,1614.3223
FDM32,OUT035,1467.7257
FDM27,OUT035,2398.9333
NCU53,OUT027,3812.4722
NCQ18,OUT046,1562.1107
FDS10,OUT013,2822.3655
FDB33,OUT027,3853.6572
FDI12,OUT013,1339.3428
NCW42,OUT013,3644.3904
NCC06,OUT018,1782.1133
FDW02,OUT017,2017.6171
NCD43,OUT017,1614.3223
FDM57,OUT018,1186.4736
FDA58,OUT017,3737.4353
FDK56,OUT046,3057.8384
FDP52,OUT045,3738.0588
FDW20,OUT018,1774.3528
FDS52,OUT049,1614.3223
NCT29,OUT018,1707.8593
NCL54,OUT013,2792.7336
FDC05,OUT045,3057.8384
FDF34,OUT035,3057.8384
FDP03,OUT027,2943.507
FDD32,OUT010,289.4011
FDZ10,OUT045,2017.6171
FDZ40,OUT035,906.16327
FDD51,OUT018,569.97943
NCY30,OUT019,489.58118
FDP58,OUT017,3398.9763
FDV49,OUT017,3870.592
FDY24,OUT019,246.16183
NCO55,OUT017,1614.3223
FDR13,OUT017,1827.2555
FDS51,OUT017,967.12726
FDP26,OUT045,1614.3223
NCB54,OUT027,3144.7825
FDF32,OUT017,3057.8384
FDN31,OUT018,2751.5876
DRM48,OUT017,697.13666
FDN20,OUT049,2636.979
DRL01,OUT046,3738.0588
FDV56,OUT049,1614.3223
DRH13,OUT027,2510.9492
FDA03,OUT017,2398.9333
FDF47,OUT027,5553.5435
FDX32,OUT046,2398.9333
FDX57,OUT049,1494.5026
NCA30,OUT045,3049.1094
FDO49,OUT013,800.93634
FDL04,OUT019,358.84744
DRM48,OUT035,697.13666
