Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1844.0
FDW14,OUT017,1424.0
NCN55,OUT010,1890.0
FDQ58,OUT017,2578.0
FDY38,OUT027,5142.0
FDH56,OUT046,1956.0
FDL48,OUT018,608.0
FDC48,OUT027,2788.0
FDN33,OUT045,1492.0
FDA36,OUT017,3092.0
FDT44,OUT017,2024.0
FDQ56,OUT045,1336.0
NCC54,OUT019,1870.0
FDU11,OUT049,2058.0
DRL59,OUT013,884.0
FDM24,OUT049,2558.0
FDI57,OUT045,3272.0
DRC12,OUT018,2762.0
NCM42,OUT027,3190.0
FDA46,OUT010,1120.0
FDA31,OUT013,2828.0
NCJ31,OUT035,3882.0
FDG52,OUT046,746.0
NCL19,OUT019,380.0
FDS10,OUT035,3014.0
FDX22,OUT010,1454.0
NCF19,OUT035,916.0
NCE06,OUT046,2524.0
DRC27,OUT046,3826.0
FDE21,OUT035,2030.0
NCR42,OUT019,-1368.0
FDX51,OUT018,2878.0
NCR06,OUT018,426.0
FDU31,OUT027,4986.0
FDU59,OUT017,2716.0
FDR03,OUT027,4764.0
FDS49,OUT027,2782.0
FDD48,OUT010,-62.0
NCF18,OUT017,3110.0
NCD43,OUT027,3096.0
NCD54,OUT018,1992.0
FDY19,OUT010,-28.0
NCY54,OUT017,2798.0
NCL19,OUT018,2036.0
FDP23,OUT010,1544.0
FDC26,OUT013,1842.0
FDR14,OUT010,-1086.0
NCS41,OUT035,3048.0
FDF41,OUT035,4018.0
FDU34,OUT046,1988.0
DRH11,OUT046,942.0
FDM03,OUT013,1732.0
FDS31,OUT017,3062.0
FDJ20,OUT017,2130.0
FDV44,OUT027,4526.0
FDG02,OUT049,3138.0
FDA09,OUT013,2936.0
FDT04,OUT013,618.0
FDL58,OUT019,2278.0
FDE52,OUT045,1406.0
FDW12,OUT035,2510.0
FDL51,OUT017,3518.0
NCY42,OUT027,3686.0
FDR07,OUT017,1698.0
FDN40,OUT045,2332.0
FDB35,OUT027,2986.0
FDA22,OUT017,2810.0
NCL06,OUT046,4104.0
FDI35,OUT013,2944.0
NCW42,OUT045,3404.0
NCX06,OUT049,2938.0
FDC37,OUT027,3206.0
FDZ14,OUT018,1696.0
DRG49,OUT049,3948.0
NCG06,OUT045,3952.0
DRC36,OUT045,2718.0
FDV21,OUT019,32.0
FDB53,OUT046,2324.0
DRP47,OUT019,2046.0
FDA14,OUT013,2278.0
DRC24,OUT035,2566.0
FDW21,OUT018,1402.0
NCH29,OUT046,1570.0
FDU58,OUT013,3068.0
FDY27,OUT017,2896.0
FDV56,OUT035,1990.0
FDT59,OUT046,3638.0
FDB23,OUT046,3656.0
FDR49,OUT045,712.0
FDB03,OUT010,1868.0
FDN39,OUT045,2632.0
FDX02,OUT027,4944.0
FDQ16,OUT027,3170.0
FDU35,OUT018,1336.0
NCT29,OUT013,1978.0
FDZ27,OUT046,780.0
FDN57,OUT017,2340.0
FDA03,OUT018,2060.0
FDZ36,OUT045,2926.0
NCU05,OUT013,1342.0
FDT39,OUT018,2198.0
FDK60,OUT017,1714.0
FDZ25,OUT017,2878.0
FDG12,OUT046,1914.0
DRB01,OUT019,1148.0
NCC43,OUT027,5364.0
FDX13,OUT019,2062.0
FDM22,OUT049,1024.0
FDJ03,OUT027,2270.0
FDU14,OUT018,3652.0
FDB33,OUT010,676.0
FDP27,OUT046,3008.0
FDO38,OUT010,-640.0
FDE28,OUT027,5118.0
FDO27,OUT035,1696.0
DRL23,OUT027,3194.0
FDS28,OUT046,940.0
FDX24,OUT013,1548.0
FDZ02,OUT035,1710.0
FDL46,OUT045,1802.0
FDS60,OUT027,4306.0
NCO06,OUT017,628.0
FDO16,OUT035,1508.0
FDC60,OUT049,1546.0
FDA48,OUT018,3200.0
FDZ36,OUT027,4474.0
FDK27,OUT045,1886.0
FDW23,OUT018,386.0
FDM14,OUT018,1542.0
FDM14,OUT013,1816.0
FDW60,OUT018,2612.0
FDE21,OUT013,1944.0
NCM42,OUT035,1878.0
FDY59,OUT010,-376.0
DRI49,OUT049,1362.0
FDT28,OUT019,486.0
FDQ22,OUT018,402.0
FDR60,OUT049,1302.0
FDC50,OUT019,-410.0
FDV24,OUT013,2442.0
DRF48,OUT010,1082.0
FDQ47,OUT046,644.0
DRN36,OUT049,1698.0
NCY06,OUT035,2168.0
FDE52,OUT035,1610.0
NCB54,OUT045,1958.0
NCF31,OUT035,2544.0
FDJ08,OUT027,4480.0
NCC07,OUT017,1790.0
NCD19,OUT027,2324.0
FDL46,OUT049,2018.0
FDM20,OUT045,3860.0
